CODIGO CIUDAD ORIGEN;Ciudad Origen;ZONA DESTINO;Pais Destino;CODIGO CIUDAD DESTINO ;Ciudad Destino;TIPO DE TRAYECTO;FLETE X UNID DE PESO ;TIEMPO DE ENTREGA;TRAYECTO EQUIVALENTE. SI NO POSEE, COLOQUE EL MISMO TIPO DE TRAYECTO;REGIONAL ORIGEN;CODIGO DANE REGIONAL ORIGEN
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;70230000;CHALAN(SUCRE);NACIONAL;1820;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;73168000;CHAPARRAL(TOLIMA);OTROS DESTINOS;2929;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;68167000;CHARALA(SANTANDER);OTROS DESTINOS;2997;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;68169000;CHARTA(SANTANDER);OTROS DESTINOS;2863;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;25175000;CHIA(CUNDINAMARCA);NACIONAL;1791;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;73268001;CHICORAL(TOLIMA);OTROS DESTINOS;2688;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5172000;CHIGORODO(ANTIOQUIA);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CHILES(NARINO);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;23168000;CHIMA(CORDOBA);OTROS DESTINOS;2772;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;20175000;CHIMICHAGUA(CESAR);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;54172000;CHINACOTA(NORTE DE SANTANDER);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CHINAUTA(CUNDINAMARCA);OTROS DESTINOS;2978;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15172000;CHINAVITA(BOYACA);NACIONAL;2900;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;17174000;CHINCHINA(CALDAS);ZONAL;2579;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;23182000;CHINU(CORDOBA);ZONAL;2081;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;25178000;CHIPAQUE(CUNDINAMARCA);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;68179000;CHIPATA(SANTANDER);NACIONAL;3683;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15176000;CHIQUINQUIRA(BOYACA);NACIONAL;2900;3;NACIONAL;;
